id,name,full_name,set,price,trade_in_price,max_cards,in_stock,qualities
79104,"Heliod, God of the Sun","Heliod, God of the Sun",Secret Lair Drop,140,80,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
81361,Blood Artist,Blood Artist,Secret Lair Drop,140,70,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
92368,Commander's Sphere,Commander's Sphere (Foil),Secret Lair Drop,140,80,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
92243,Ancient Grudge,Ancient Grudge (Foil),Secret Lair Drop,140,80,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
81359,Baleful Strix,Baleful Strix,Secret Lair Drop,140,70,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
81367,Gilded Goose,Gilded Goose,Secret Lair Drop,130,70,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
140815,Idyllic Tutor,Idyllic Tutor,Secret Lair Drop,130,70,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
92360,Squirrel Wrangler,Squirrel Wrangler (Foil),Secret Lair Drop,130,70,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
92411,"Kaya, Ghost Assassin","Kaya, Ghost Assassin (Borderless)",Secret Lair Drop,120,60,-1,0,"{'borderless': True, 'foil': False, 'extended_art': False, 'showcase': False}"
92235,Ajani Steadfast,Ajani Steadfast (Foil),Secret Lair Drop,120,60,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
134967,Vizier of the Menagerie,Vizier of the Menagerie (Foil),Secret Lair Drop,110,55,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
145865,Grand Arbiter Augustin IV,Grand Arbiter Augustin IV (Foil) (Borderless),Secret Lair Drop,110,60,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
92367,Commander's Sphere,Commander's Sphere,Secret Lair Drop,110,60,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
140800,Bearscape,Bearscape (Foil) (Borderless),Secret Lair Drop,110,60,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
92458,"Nissa, Who Shakes the World","Nissa, Who Shakes the World (Foil)",Secret Lair Drop,110,60,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
81385,"Vraska, Golgari Queen","Vraska, Golgari Queen (Foil)",Secret Lair Drop,100,60,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
145504,"Sarkhan, Dragonsoul","Sarkhan, Dragonsoul (Foil) (Borderless)",Secret Lair Drop,100,50,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
92392,Inferno Titan,Inferno Titan (Foil) (Showcase),Secret Lair Drop,100,60,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': True}"
92230,"Pharika, God of Affliction","Pharika, God of Affliction (Foil) (Showcase)",Secret Lair Drop,100,60,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': True}"
140963,Prismatic Omen,Prismatic Omen (Foil) (Borderless),Secret Lair Drop,100,50,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
140310,Unmask,Unmask (Foil) (Borderless),Secret Lair Drop,100,50,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
140796,Savor the Moment,Savor the Moment (Foil) (Borderless),Secret Lair Drop,100,50,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
75722,Goblin Piledriver,Goblin Piledriver,Secret Lair Drop Series,100,50,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
92286,Enchanted Evening,Enchanted Evening,Secret Lair Drop,100,50,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
92461,"Domri, Anarch of Bolas","Domri, Anarch of Bolas (Foil)",Secret Lair Drop,100,50,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
92182,Reaper King,Reaper King (Foil),Secret Lair Drop,90,50,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
92325,"Hansk, Slayer Zealot","Hansk, Slayer Zealot (Foil)",Secret Lair Drop,90,50,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
92410,Cultivate,Cultivate (Foil) (Borderless),Secret Lair Drop,90,50,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
92409,Cultivate,Cultivate (Borderless),Secret Lair Drop,80,40,-1,0,"{'borderless': True, 'foil': False, 'extended_art': False, 'showcase': False}"
75725,Leonin Warleader,Leonin Warleader,Secret Lair Drop Series,70,35,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
92418,Path of Ancestry,Path of Ancestry (Foil) (Borderless),Secret Lair Drop,60,30,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
140590,Cloudshredder Sliver,Cloudshredder Sliver (Foil) (Extended Art),Secret Lair Drop,60,30,-1,0,"{'borderless': False, 'foil': True, 'extended_art': True, 'showcase': False}"
92236,Domri Rade,Domri Rade (Foil),Secret Lair Drop,50,30,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
145625,"Zaxara, the Exemplary","Zaxara, the Exemplary (Foil) (Borderless)",Secret Lair Drop,40,20,-1,0,"{'borderless': True, 'foil': True, 'extended_art': False, 'showcase': False}"
92460,"Ajani, the Greathearted","Ajani, the Greathearted (Foil)",Secret Lair Drop,40,20,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
93317,Treasure // Walker [Token],Treasure // Walker [Token],Secret Lair Drop,20,10,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
93321,Walker // Walker [Token],Walker // Walker [Token],Secret Lair Drop,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
93320,Walker // Walker [Token],Walker // Walker [Token],Secret Lair Drop,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
93319,Walker // Walker [Token],Walker // Walker [Token],Secret Lair Drop,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
93318,Walker // Walker [Token],Walker // Walker [Token],Secret Lair Drop,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126800,Throne of Eldraine,Throne of Eldraine,Wilds of Eldraine Commander,300,150,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
141168,Court of Locthwain,Court of Locthwain (Foil),Wilds of Eldraine Commander,300,150,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
126823,Court of Garenbrig,Court of Garenbrig (Foil) (Extended Art),Wilds of Eldraine Commander,280,140,-1,0,"{'borderless': False, 'foil': True, 'extended_art': True, 'showcase': False}"
126822,Court of Garenbrig,Court of Garenbrig (Extended Art),Wilds of Eldraine Commander,280,140,-1,0,"{'borderless': False, 'foil': False, 'extended_art': True, 'showcase': False}"
126738,"Alela, Cunning Conqueror","Alela, Cunning Conqueror (Foil)",Wilds of Eldraine Commander,220,120,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
126854,Throne of Eldraine,Throne of Eldraine (Extended Art),Wilds of Eldraine Commander,180,95,-1,0,"{'borderless': False, 'foil': False, 'extended_art': True, 'showcase': False}"
126954,Brazen Borrower // Petty Theft,Brazen Borrower // Petty Theft,Wilds of Eldraine Commander,150,75,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126788,Court of Locthwain,Court of Locthwain,Wilds of Eldraine Commander,140,70,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126807,Court of Vantress,Court of Vantress (Extended Art),Wilds of Eldraine Commander,100,50,-1,0,"{'borderless': False, 'foil': False, 'extended_art': True, 'showcase': False}"
126760,Misleading Signpost,Misleading Signpost,Wilds of Eldraine Commander,90,45,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127129,Hall of Heliod's Generosity,Hall of Heliod's Generosity,Wilds of Eldraine Commander,80,40,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126804,Court of Ardenvale,Court of Ardenvale (Foil) (Extended Art),Wilds of Eldraine Commander,80,40,-1,0,"{'borderless': False, 'foil': True, 'extended_art': True, 'showcase': False}"
127021,Kindred Dominance,Kindred Dominance,Wilds of Eldraine Commander,80,40,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127063,Sanctum Weaver,Sanctum Weaver,Wilds of Eldraine Commander,70,35,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127014,Snap,Snap,Wilds of Eldraine Commander,70,35,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126973,Glen Elendra Archmage,Glen Elendra Archmage,Wilds of Eldraine Commander,60,30,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126782,Court of Ardenvale,Court of Ardenvale,Wilds of Eldraine Commander,60,30,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127039,Bear Umbra,Bear Umbra,Wilds of Eldraine Commander,50,25,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126798,"Brenard, Ginger Sculptor","Brenard, Ginger Sculptor",Wilds of Eldraine Commander,40,20,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127012,Scion of Oona,Scion of Oona,Wilds of Eldraine Commander,40,20,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126918,Kor Spiritdancer,Kor Spiritdancer,Wilds of Eldraine Commander,40,20,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127060,Rishkar's Expertise,Rishkar's Expertise,Wilds of Eldraine Commander,40,20,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126919,Mantle of the Ancients,Mantle of the Ancients,Wilds of Eldraine Commander,40,20,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126975,Hullbreaker Horror,Hullbreaker Horror,Wilds of Eldraine Commander,40,20,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126908,Daybreak Coronet,Daybreak Coronet,Wilds of Eldraine Commander,40,20,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127035,Ancestral Mask,Ancestral Mask,Wilds of Eldraine Commander,40,20,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126951,Arcane Denial,Arcane Denial,Wilds of Eldraine Commander,40,20,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127072,Utopia Sprawl,Utopia Sprawl,Wilds of Eldraine Commander,40,20,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127005,Reflections of Littjara,Reflections of Littjara,Wilds of Eldraine Commander,30,15,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126946,Umbra Mystic,Umbra Mystic,Wilds of Eldraine Commander,30,15,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127065,Setessan Champion,Setessan Champion,Wilds of Eldraine Commander,30,15,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126930,"Shalai, Voice of Plenty","Shalai, Voice of Plenty",Wilds of Eldraine Commander,30,15,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126757,Malleable Impostor,Malleable Impostor,Wilds of Eldraine Commander,30,15,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126925,Retether,Retether,Wilds of Eldraine Commander,30,15,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126750,Songbirds' Blessing,Songbirds' Blessing,Wilds of Eldraine Commander,30,15,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126938,Swords to Plowshares,Swords to Plowshares,Wilds of Eldraine Commander,30,15,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127107,Bojuka Bog,Bojuka Bog,Wilds of Eldraine Commander,30,15,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126728,"Tegwyll, Duke of Splendor","Tegwyll, Duke of Splendor (Foil)",Wilds of Eldraine Commander,20,10,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
126897,Angelic Destiny,Angelic Destiny,Wilds of Eldraine Commander,20,10,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127033,Thrilling Encore,Thrilling Encore,Wilds of Eldraine Commander,20,10,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127112,Castle Ardenvale,Castle Ardenvale,Wilds of Eldraine Commander,20,10,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126755,Archmage of Echoes,Archmage of Echoes,Wilds of Eldraine Commander,20,10,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127028,"Rankle, Master of Pranks","Rankle, Master of Pranks",Wilds of Eldraine Commander,20,10,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126902,Austere Command,Austere Command,Wilds of Eldraine Commander,20,10,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126939,Timely Ward,Timely Ward,Wilds of Eldraine Commander,20,10,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127017,Sower of Temptation,Sower of Temptation,Wilds of Eldraine Commander,20,10,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127104,Talisman of Dominance,Talisman of Dominance,Wilds of Eldraine Commander,20,10,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127102,Sol Ring,Sol Ring,Wilds of Eldraine Commander,20,10,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126960,Consider,Consider,Wilds of Eldraine Commander,20,10,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126731,Ellivere of the Wild Court,Ellivere of the Wild Court,Wilds of Eldraine Commander,15,8,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126935,Sun Titan,Sun Titan,Wilds of Eldraine Commander,15,8,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126733,Ellivere of the Wild Court,Ellivere of the Wild Court (Foil),Wilds of Eldraine Commander,15,8,-1,0,"{'borderless': False, 'foil': True, 'extended_art': False, 'showcase': False}"
126726,"Tegwyll, Duke of Splendor","Tegwyll, Duke of Splendor",Wilds of Eldraine Commander,15,8,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127048,Enchantress's Presence,Enchantress's Presence,Wilds of Eldraine Commander,15,4,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126765,Blightwing Bandit,Blightwing Bandit,Wilds of Eldraine Commander,15,8,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126933,Starfield Mystic,Starfield Mystic,Wilds of Eldraine Commander,15,8,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127046,Eidolon of Blossoms,Eidolon of Blossoms,Wilds of Eldraine Commander,15,8,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126915,Generous Gift,Generous Gift,Wilds of Eldraine Commander,15,8,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127093,Arcane Signet,Arcane Signet,Wilds of Eldraine Commander,15,8,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127074,Verdant Embrace,Verdant Embrace,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127118,Darkwater Catacombs,Darkwater Catacombs,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127114,Choked Estuary,Choked Estuary,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127142,Sunken Hollow,Sunken Hollow,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127085,"Nymris, Oona's Trickster","Nymris, Oona's Trickster",Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126941,Tithe Taker,Tithe Taker,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126767,Faerie Bladecrafter,Faerie Bladecrafter,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126961,Dig Through Time,Dig Through Time,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127079,Glen Elendra Liege,Glen Elendra Liege,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127026,Puppeteer Clique,Puppeteer Clique,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127019,Theoretical Duplication,Theoretical Duplication,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126911,Eidolon of Countless Battles,Eidolon of Countless Battles,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126900,Archon of Sun's Grace,Archon of Sun's Grace,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126981,Illusionist's Gambit,Illusionist's Gambit,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
127146,Temple of Deceit,Temple of Deceit,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126770,Nettling Nuisance,Nettling Nuisance,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126994,Perplexing Test,Perplexing Test,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
126986,Midnight Clock,Midnight Clock,Wilds of Eldraine Commander,10,5,-1,0,"{'borderless': False, 'foil': False, 'extended_art': False, 'showcase': False}"
